"Star Name","RA (J2000.0)","Dec (J2000.0)","Var. Type","Min Mag","Max Mag","Period (d)","High Priority","Categories"
"15 Lac","22h 52m 2.0s","+43d 18m 44.7s","LB","5.0 V","4.9 V","","","type_lc"
"30 Cyg","20h 13m 18.0s","+46d 48m 56.4s","ACV:","4.8 V","4.8 V","2.9384","","mid_period"
"50 Cas","02h 03m 26.1s","+72d 25m 16.6s","ELL:","4.0 V","4.0 V","1.596778","yes","mid_period"
"77 Cyg A","21h 42m 23.0s","+41d 04m 37.2s","ELL","6.3 V","6.3 V","1.7285","","type_ea"
"AF Dra","20h 31m 30.4s","+74d 57m 16.6s","ACV","5.2 V","5.2 V","20.2747","","type_cv"
"AF UMi","17h 00m 24.5s","+80d 36m 38.8s","RRAB","13.5 V","12.8 V","0.69112","","type_rr"
"AL Cam","11h 40m 24.7s","+80d 14m 9.6s","EA/SD:","11.3 V","10.5 V","1.328326","","type_ea"
"alf And","00h 08m 23.3s","+29d 05m 25.6s","ACV","2.1 V","2.1 V","2.382","","type_cv"
"alf Cas","00h 40m 30.5s","+56d 32m 14.5s","ROT:","2.2 V","2.2 V","2.4124","yes","mid_period"
"alf Cep","21h 18m 34.8s","+62d 35m 8.1s","DSCT","2.5 V","2.5 V","0.0498","yes","short_period"
"alf Cyg","20h 41m 25.9s","+45d 16m 49.2s","ACYG","1.3 V","1.2 V","","yes",""
"alf UMi","02h 31m 49.1s","+89d 15m 50.8s","DCEPS","2.0 V","2.0 V","3.97204","yes","mid_period"
"AN And","23h 18m 23.3s","+41d 46m 25.2s","EB","6.1 V","6.0 V","3.21952","","type_ea"
"AN Cam","04h 05m 57.6s","+76d 53m 12.0s","EA/DS","11.2 V","10.4 V","20.99854","","type_ea"
"AO Cas","00h 17m 43.1s","+51d 25m 59.1s","ELL/KE","6.2 V","6.1 V","3.523487","","type_ea"
"AQ Cep","08h 22m 43.9s","+86d 04m 51.8s","RRAB","13.3 V","12.2 V","0.6514463","","type_rr"
"AR Cas","23h 30m 1.9s","+58d 32m 56.1s","EA/DM","5.0 V","4.8 V","6.0663335","","mid_period"
"AR Cep","22h 51m 33.9s","+85d 02m 47.0s","SRB","7.9 V","7.0 V","364","","long_period"
"ASAS J204221+2601.4","20h 42m 20.7s","+26d 01m 22.3s","SR|ESD","7.3 V","7.1 V","320","","type_m"
"ASAS J213616+1235.5","21h 36m 16.0s","+12d 35m 29.2s","SR","7.6 V","7.5 V","320","","type_m"
