Time (UTC),Kind,Message,Detail
"2026-05-26T00:33:11.176Z","queue.schedule_decision","Session a9a609e6-0e7c-41e7-a1b0-857ae61105d7 moved from scheduled back to pending schedule state.","{""id"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""target"":""M101 Project"",""previousStatus"":""scheduled"",""nextStatus"":""unscheduled"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%."",""reasons"":[""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%.""]}"
"2026-05-26T00:27:07.916Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%.""}"
"2026-05-26T00:27:07.840Z","project.sub_session_scheduled","Project sub-session scheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""plannedStartIso"":""2026-05-26T01:23:27.830Z"",""plannedEndIso"":""2026-05-26T02:08:27.830Z"",""filterPlansTonight"":[{""filterName"":""H"",""exposureSeconds"":600,""count"":2}],""reasons"":[""Weather-permitted segments overlapping this run: May 25, 9:23 PM – May 25, 10:00 PM ET."",""Frames in this session: H 2×600s (2 exposure(s) total)."",""Start at May 25, 9:23 PM ET: target at 72.7° (≥30° required)."",""Fewer frames than the free window could fit: placement requires ≥80% weather-permitted and 100% target-altitude (≥30°) coverage for the full run (may span multiple clear spells)."",""End at May 25, 10:08 PM ET: 0.33 h exposure + 25 min session overhead (0.75 h block)."",""Coverage checks: weather-permitted 81% (≥80% required), target ≥30° 100% (100% required).""]}"
"2026-05-26T00:21:04.340Z","queue.schedule_decision","Session a9a609e6-0e7c-41e7-a1b0-857ae61105d7 moved from scheduled back to pending schedule state.","{""id"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""target"":""M101 Project"",""previousStatus"":""scheduled"",""nextStatus"":""unscheduled"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%."",""reasons"":[""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%.""]}"
"2026-05-26T00:21:04.266Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%.""}"
"2026-05-26T00:21:04.209Z","project.sub_session_scheduled","Project sub-session scheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""plannedStartIso"":""2026-05-26T01:23:27.830Z"",""plannedEndIso"":""2026-05-26T02:08:27.830Z"",""filterPlansTonight"":[{""filterName"":""H"",""exposureSeconds"":600,""count"":2}],""reasons"":[""Weather-permitted segments overlapping this run: May 25, 9:23 PM – May 25, 10:00 PM ET."",""Frames in this session: H 2×600s (2 exposure(s) total)."",""Start at May 25, 9:23 PM ET: target at 72.7° (≥30° required)."",""Fewer frames than the free window could fit: placement requires ≥80% weather-permitted and 100% target-altitude (≥30°) coverage for the full run (may span multiple clear spells)."",""End at May 25, 10:08 PM ET: 0.33 h exposure + 25 min session overhead (0.75 h block)."",""Coverage checks: weather-permitted 81% (≥80% required), target ≥30° 100% (100% required).""]}"
"2026-05-26T00:20:57.614Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%.""}"
"2026-05-26T00:20:57.548Z","project.sub_session_scheduled","Project sub-session scheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""plannedStartIso"":""2026-05-26T01:23:27.830Z"",""plannedEndIso"":""2026-05-26T02:08:27.830Z"",""filterPlansTonight"":[{""filterName"":""H"",""exposureSeconds"":600,""count"":2}],""reasons"":[""Weather-permitted segments overlapping this run: May 25, 9:23 PM – May 25, 10:00 PM ET."",""Frames in this session: H 2×600s (2 exposure(s) total)."",""Start at May 25, 9:23 PM ET: target at 72.7° (≥30° required)."",""Fewer frames than the free window could fit: placement requires ≥80% weather-permitted and 100% target-altitude (≥30°) coverage for the full run (may span multiple clear spells)."",""End at May 25, 10:08 PM ET: 0.33 h exposure + 25 min session overhead (0.75 h block)."",""Coverage checks: weather-permitted 81% (≥80% required), target ≥30° 100% (100% required).""]}"
"2026-05-26T00:20:21.161Z","queue.schedule_decision","Session a9a609e6-0e7c-41e7-a1b0-857ae61105d7 moved from scheduled back to pending schedule state.","{""id"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""target"":""M101 Project"",""previousStatus"":""scheduled"",""nextStatus"":""unscheduled"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%."",""reasons"":[""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%.""]}"
"2026-05-26T00:20:21.090Z","project.sub_session_unscheduled","Project sub-session unscheduled: M101 Project Session 1 (a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1).","{""projectId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7"",""nightSubId"":""a9a609e6-0e7c-41e7-a1b0-857ae61105d7::night-1"",""nightIndex"":1,""nightKey"":""2026-05-25"",""target"":""M101 Project"",""previousPlannedStartIso"":""2026-05-26T01:23:27.830Z"",""reason"":""Global weather trigger: no 2-hour consecutive run with cloud cover < 10%.""}"
