date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:12	300/300	---MCZ	200	added ('OK')	text/plain	etag:W/%221f0-HapPgr6kkLUTxewQemp4/J+RQ9Q%22	https://www.heroesaroundme.org/robots.txt		(from )
10:59:35	826112/826112	---MCZ	200	added ('OK')	text/html	etag:W/%22e7c2e5aa46c3729b69d3d978beb86f5e%22	https://www.heroesaroundme.org/	./ham-copy/www.heroesaroundme.org/index.html	(from )
10:59:36	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202026%2002:59:36%20GMT	https://www.heroesaroundme.org/t	./ham-copy/www.heroesaroundme.org/t.0.delayed	(from https://www.heroesaroundme.org/)
10:59:37	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202026%2002:59:37%20GMT	https://www.heroesaroundme.org/o	./ham-copy/www.heroesaroundme.org/o.1.delayed	(from https://www.heroesaroundme.org/)
10:59:39	504446/504446	---MCZ	200	added ('OK')	text/html	etag:W/%2289aac6c329f88e1fe74ae578cd3ac819%22	https://www.heroesaroundme.org/about	./ham-copy/www.heroesaroundme.org/about.html	(from https://www.heroesaroundme.org/)
10:59:40	836535/836535	---MCZ	200	added ('OK')	text/html	etag:W/%22ac8cc2cbc8135d510557011dec3df2fd%22	https://www.heroesaroundme.org/events	./ham-copy/www.heroesaroundme.org/events.html	(from https://www.heroesaroundme.org/)
10:59:41	808157/808157	---MCZ	200	added ('OK')	text/html	etag:W/%22b9171950bae394665d9f90dc61bf638f%22	https://www.heroesaroundme.org/join	./ham-copy/www.heroesaroundme.org/join.html	(from https://www.heroesaroundme.org/)
10:59:52	752014/752014	---MCZ	200	added ('OK')	text/html	etag:W/%226c4cc7844f5fbd21d57a02c2859b6aad%22	https://www.heroesaroundme.org/wechat	./ham-copy/www.heroesaroundme.org/wechat.html	(from https://www.heroesaroundme.org/)
10:59:52	2203/2203	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2014%20Mar%202026%2002:59:52%20GMT	https://www.heroesaroundme.org/window.location.href	./ham-copy/www.heroesaroundme.org/window.location.6.delayed	(from https://www.heroesaroundme.org/)
10:59:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Mar%202026%2002:59:53%20GMT	https://www.heroesaroundme.org/api/	./ham-copy/www.heroesaroundme.org/api/index.html	(from https://www.heroesaroundme.org/)
